Date : 2024-11-28 19:12:34
Directory : d:\Codes\unex-ai\ai-chat-to-code\app
Total : 125 files,  8582 codes, 144 comments, 1125 blanks, all 9851 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| chat-deprecated\Pages\components                                                                |          6 |        331 |          0 |         38 |        369 |
| chat-deprecated\Projects                                                                        |          6 |        327 |          0 |         44 |        371 |
| chat-deprecated\Projects (Files)                                                                |          3 |        125 |          0 |         26 |        151 |
| chat-deprecated\Projects\components                                                             |          3 |        202 |          0 |         18 |        220 |
| chat-deprecated\Sidebar                                                                         |          2 |        316 |          1 |         39 |        356 |
| chat-deprecated\Test                                                                            |          4 |        136 |          4 |         26 |        166 |
| chat-deprecated\UserInput                                                                       |          2 |        190 |          2 |         26 |        218 |
| chat-deprecated\components                                                                      |          2 |        338 |          1 |         27 |        366 |
| chats                                                                                           |         21 |      1,879 |         21 |        253 |      2,153 |
| chats (Files)                                                                                   |          6 |        478 |          1 |         56 |        535 |
| chats\components                                                                                |         10 |        817 |         14 |         71 |        902 |
| chats\constants                                                                                 |          1 |        374 |          2 |         93 |        469 |
| chats\contexts                                                                                  |          1 |         35 |          0 |          6 |         41 |
| chats\hooks                                                                                     |          3 |        175 |          4 |         27 |        206 |
| components                                                                                      |          4 |        156 |          1 |         15 |        172 |
| components (Files)                                                                              |          1 |          0 |          0 |          1 |          1 |
| components\AppLayout                                                                            |          1 |         19 |          0 |          5 |         24 |
| components\Footer                                                                               |          1 |         13 |          0 |          3 |         16 |
| components\Header                                                                               |          1 |        124 |          1 |          6 |        131 |
| config                                                                                          |          1 |         21 |          0 |          5 |         26 |
| doc                                                                                             |          1 |          4 |          0 |          2 |          6 |
| faq                                                                                             |          1 |          4 |          0 |          2 |          6 |
| founders                                                                                        |          2 |        259 |          2 |         16 |        277 |
| hooks                                                                                           |          1 |         18 |          0 |          5 |         23 |
| market-place                                                                                    |          1 |        208 |          2 |         15 |        225 |
| pages                                                                                           |          5 |         45 |          0 |         15 |         60 |
| services                                                                                        |         13 |        704 |         32 |        125 |        861 |
| services (Files)                                                                                |          3 |        206 |          1 |         32 |        239 |
| services\db                                                                                     |          8 |        396 |          8 |         73 |        477 |
| services\webpack                                                                                |          2 |        102 |         23 |         20 |        145 |
| services\webpack (Files)                                                                        |          1 |         68 |         10 |         13 |         91 |
| services\webpack\template                                                                       |          1 |         34 |         13 |          7 |         54 |
| store                                                                                           |          4 |        449 |         23 |         73 |        545 |
| styles                                                                                          |          1 |        129 |          1 |         11 |        141 |
| utils                                                                                           |          2 |        147 |         13 |         27 |        187 |
| workspace                                                                                       |         19 |      1,501 |         14 |        136 |      1,651 |
| workspace (Files)                                                                               |          2 |         57 |          0 |          6 |         63 |
| workspace\library                                                                               |          6 |        692 |          6 |         53 |        751 |
| workspace\library (Files)                                                                       |          1 |         80 |          0 |         10 |         90 |
| workspace\library\components                                                                    |          3 |        445 |          5 |         36 |        486 |
| workspace\library\data                                                                          |          1 |        115 |          0 |          2 |        117 |
| workspace\library\hooks                                                                         |          1 |         52 |          1 |          5 |         58 |
| workspace\page-manage                                                                           |          7 |        394 |          8 |         54 |        456 |
| workspace\page-manage (Files)                                                                   |          6 |        332 |          8 |         46 |        386 |
| workspace\page-manage\components                                                                |          1 |         62 |          0 |          8 |         70 |
| workspace\projects                                                                              |          4 |        358 |          0 |         23 |        381 |
| workspace\projects (Files)                                                                      |          1 |         90 |          0 |          8 |         98 |
| workspace\projects\components                                                                   |          1 |        253 |          0 |         14 |        267 |
| workspace\projects\hooks                                                                        |          1 |          0 |          0 |          1 |          1 |
| workspace\projects\types                                                                        |          1 |         15 |          0 |          0 |         15 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                        | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Codes\unex-ai\ai-chat-to-code\app\about\page.tsx                                             | TypeScript JSX |        141 |          0 |         10 |        151 |
| d:\Codes\unex-ai\ai-chat-to-code\app\api\dify\route.ts                                          | TypeScript     |         58 |          0 |          9 |         67 |
| d:\Codes\unex-ai\ai-chat-to-code\app\api\openai\route.ts                                        | TypeScript     |         59 |          0 |          7 |         66 |
| d:\Codes\unex-ai\ai-chat-to-code\app\api\upload\route.ts                                        | TypeScript     |         53 |          2 |         13 |         68 |
| d:\Codes\unex-ai\ai-chat-to-code\app\api\webpack\route.ts                                       | TypeScript     |         53 |          9 |         13 |         75 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAChatInterface.tsx                     | TypeScript JSX |         46 |          0 |          6 |         52 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAMarkdownDisplay.tsx                   | TypeScript JSX |         27 |          2 |          6 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAView.scss                             | SCSS           |         14 |          0 |          4 |         18 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\BA\BAView.tsx                              | TypeScript JSX |         50 |          2 |         10 |         62 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendChatInterface.tsx           | TypeScript JSX |         46 |          0 |          6 |         52 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendMarkdownDisplay.tsx         | TypeScript JSX |         27 |          2 |          6 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendView.scss                   | SCSS           |         13 |          0 |          4 |         17 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Backend\BackendView.tsx                    | TypeScript JSX |         50 |          2 |         10 |         62 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Chat.scss                                  | SCSS           |         16 |          1 |          3 |         20 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\ChatInterface\ChatInterface.tsx            | TypeScript JSX |        150 |          1 |         15 |        166 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\ChatInterface\Chatinterface.scss           | SCSS           |         65 |          0 |         11 |         76 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendChatInterface.tsx         | TypeScript JSX |         46 |          0 |          6 |         52 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendMarkdownDisplay.tsx       | TypeScript JSX |         28 |          2 |          5 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendView.scss                 | SCSS           |         13 |          0 |          4 |         17 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Frontend\FrontendView.tsx                  | TypeScript JSX |         50 |          2 |         10 |         62 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\MarkdownDisplay\MarkdownDisplay.scss       | SCSS           |         65 |          1 |         12 |         78 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\MarkdownDisplay\MarkdownDisplay.tsx        | TypeScript JSX |         83 |          0 |          9 |         92 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\PagesView.scss                       | SCSS           |         48 |          0 |         10 |         58 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\PagesView.tsx                        | TypeScript JSX |        148 |          0 |         21 |        169 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\AddComponentModal.tsx     | TypeScript JSX |         53 |          0 |          5 |         58 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\ComponentItem.tsx         | TypeScript JSX |         34 |          0 |          7 |         41 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\CreatePageModal.tsx       | TypeScript JSX |         52 |          0 |          5 |         57 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageCard.tsx              | TypeScript JSX |         38 |          0 |          3 |         41 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageColumn.tsx            | TypeScript JSX |         74 |          0 |          9 |         83 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\components\PageModal.tsx             | TypeScript JSX |         80 |          0 |          9 |         89 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Pages\types.ts                             | TypeScript     |          2 |          0 |          2 |          4 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\ProjectsView.scss                 | SCSS           |         43 |          0 |         11 |         54 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\ProjectsView.tsx                  | TypeScript JSX |         80 |          0 |         13 |         93 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\CreateProjectModal.tsx | TypeScript JSX |         63 |          0 |          5 |         68 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\ProjectCard.tsx        | TypeScript JSX |         43 |          0 |          3 |         46 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\components\ProjectModal.tsx       | TypeScript JSX |         96 |          0 |         10 |        106 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Projects\types.ts                          | TypeScript     |          2 |          0 |          2 |          4 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Sidebar\Sidebar.scss                       | SCSS           |        134 |          1 |         22 |        157 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Sidebar\Sidebar.tsx                        | TypeScript JSX |        182 |          0 |         17 |        199 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestChatInterface.tsx                 | TypeScript JSX |         46 |          0 |          6 |         52 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestMarkdownDisplay.tsx               | TypeScript JSX |         27 |          2 |          6 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.scss                         | SCSS           |         13 |          0 |          4 |         17 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\Test\TestView.tsx                          | TypeScript JSX |         50 |          2 |         10 |         62 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.scss                   | SCSS           |         90 |          0 |         15 |        105 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\UserInput\UserInput.tsx                    | TypeScript JSX |        100 |          2 |         11 |        113 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseChatInterface.tsx           | TypeScript JSX |        243 |          1 |         18 |        262 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\components\BaseMarkdownDisplay.tsx         | TypeScript JSX |         95 |          0 |          9 |        104 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chat-deprecated\page.tsx                                   | TypeScript JSX |         41 |          0 |          7 |         48 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\backend.tsx                                          | TypeScript JSX |         97 |          0 |         12 |        109 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\cms.tsx                                              | TypeScript JSX |         82 |          0 |         10 |         92 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\BaseChatInterface.tsx                     | TypeScript JSX |         28 |          0 |          4 |         32 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ChatHeader.tsx                            | TypeScript JSX |         89 |          0 |          8 |         97 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ChatInterface.tsx                         | TypeScript JSX |        147 |          4 |         10 |        161 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ClearChatButton.tsx                       | TypeScript JSX |         47 |          0 |          3 |         50 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\CodeDisplay.tsx                           | TypeScript JSX |         25 |          0 |          3 |         28 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\FrameworkSelector.tsx                     | TypeScript JSX |        141 |          0 |          6 |        147 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\ImageUploader.tsx                         | TypeScript JSX |         93 |          2 |         11 |        106 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\MarkdownEditor.tsx                        | TypeScript JSX |         21 |          0 |          3 |         24 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\SaveProjectDialog.tsx                     | TypeScript JSX |        186 |          6 |         18 |        210 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\components\SharedFirstColumn.tsx                     | TypeScript JSX |         40 |          2 |          5 |         47 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\constants\prompts.ts                                 | TypeScript     |        374 |          2 |         93 |        469 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\contexts\SharedContext.tsx                           | TypeScript JSX |         35 |          0 |          6 |         41 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\frontend.tsx                                         | TypeScript JSX |         99 |          0 |         11 |        110 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useChatMessages.ts                             | TypeScript     |        127 |          0 |         13 |        140 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useCodeParser.ts                               | TypeScript     |         32 |          2 |         10 |         44 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\hooks\useRequirementParser.ts                        | TypeScript     |         16 |          2 |          4 |         22 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\page.tsx                                             | TypeScript JSX |         50 |          0 |          6 |         56 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\requirement.tsx                                      | TypeScript JSX |         53 |          1 |          5 |         59 |
| d:\Codes\unex-ai\ai-chat-to-code\app\chats\test.tsx                                             | TypeScript JSX |         97 |          0 |         12 |        109 |
| d:\Codes\unex-ai\ai-chat-to-code\app\components\AppLayout\AppLayout.tsx                         | TypeScript JSX |         19 |          0 |          5 |         24 |
| d:\Codes\unex-ai\ai-chat-to-code\app\components\Footer\Footer.tsx                               | TypeScript JSX |         13 |          0 |          3 |         16 |
| d:\Codes\unex-ai\ai-chat-to-code\app\components\Header\headernew.tsx                            | TypeScript JSX |        124 |          1 |          6 |        131 |
| d:\Codes\unex-ai\ai-chat-to-code\app\components\button.tsx                                      | TypeScript JSX |          0 |          0 |          1 |          1 |
| d:\Codes\unex-ai\ai-chat-to-code\app\config\prompts.ts                                          | TypeScript     |         21 |          0 |          5 |         26 |
| d:\Codes\unex-ai\ai-chat-to-code\app\doc\page.tsx                                               | TypeScript JSX |          4 |          0 |          2 |          6 |
| d:\Codes\unex-ai\ai-chat-to-code\app\faq\page.tsx                                               | TypeScript JSX |          4 |          0 |          2 |          6 |
| d:\Codes\unex-ai\ai-chat-to-code\app\founders\Founders.scss                                     | SCSS           |          9 |          0 |          2 |         11 |
| d:\Codes\unex-ai\ai-chat-to-code\app\founders\page.tsx                                          | TypeScript JSX |        250 |          2 |         14 |        266 |
| d:\Codes\unex-ai\ai-chat-to-code\app\hooks\useTheme.ts                                          | TypeScript     |         18 |          0 |          5 |         23 |
| d:\Codes\unex-ai\ai-chat-to-code\app\layout.tsx                                                 | TypeScript JSX |         28 |          1 |          6 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\market-place\page.tsx                                      | TypeScript JSX |        208 |          2 |         15 |        225 |
| d:\Codes\unex-ai\ai-chat-to-code\app\pages\Doc.tsx                                              | TypeScript JSX |          9 |          0 |          3 |         12 |
| d:\Codes\unex-ai\ai-chat-to-code\app\pages\Faq.tsx                                              | TypeScript JSX |          9 |          0 |          3 |         12 |
| d:\Codes\unex-ai\ai-chat-to-code\app\pages\Founders.tsx                                         | TypeScript JSX |          9 |          0 |          3 |         12 |
| d:\Codes\unex-ai\ai-chat-to-code\app\pages\Library.tsx                                          | TypeScript JSX |          9 |          0 |          3 |         12 |
| d:\Codes\unex-ai\ai-chat-to-code\app\pages\Main.tsx                                             | TypeScript JSX |          9 |          0 |          3 |         12 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\api.ts                                            | TypeScript     |         12 |          1 |          3 |         16 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\componentsService.ts                           | TypeScript     |        100 |          0 |         20 |        120 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\index.ts                                       | TypeScript     |         48 |          6 |         10 |         64 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\messagesService.ts                             | TypeScript     |         22 |          0 |          6 |         28 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\pagesService.ts                                | TypeScript     |         22 |          0 |          6 |         28 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\projectsService.ts                             | TypeScript     |         26 |          0 |          7 |         33 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\schema.ts                                      | TypeScript     |        127 |          0 |          9 |        136 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\topicsService.ts                               | TypeScript     |         26 |          0 |          7 |         33 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\db\viewsService.ts                                | TypeScript     |         25 |          2 |          8 |         35 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\dify.ts                                           | TypeScript     |         80 |          0 |         16 |         96 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\openai.ts                                         | TypeScript     |        114 |          0 |         13 |        127 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\webpack\package-download.ts                       | TypeScript     |         68 |         10 |         13 |         91 |
| d:\Codes\unex-ai\ai-chat-to-code\app\services\webpack\template\light.js                         | JavaScript     |         34 |         13 |          7 |         54 |
| d:\Codes\unex-ai\ai-chat-to-code\app\store\chatStore.ts                                         | TypeScript     |         65 |          7 |         16 |         88 |
| d:\Codes\unex-ai\ai-chat-to-code\app\store\codeStore.ts                                         | TypeScript     |        168 |         12 |         27 |        207 |
| d:\Codes\unex-ai\ai-chat-to-code\app\store\componentStore.ts                                    | TypeScript     |        134 |          2 |         15 |        151 |
| d:\Codes\unex-ai\ai-chat-to-code\app\store\projectStore.ts                                      | TypeScript     |         82 |          2 |         15 |         99 |
| d:\Codes\unex-ai\ai-chat-to-code\app\styles\global.scss                                         | SCSS           |        129 |          1 |         11 |        141 |
| d:\Codes\unex-ai\ai-chat-to-code\app\utils\alioss.ts                                            | TypeScript     |         51 |          4 |          9 |         64 |
| d:\Codes\unex-ai\ai-chat-to-code\app\utils\request.ts                                           | TypeScript     |         96 |          9 |         18 |        123 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\layout.tsx                                       | TypeScript JSX |         53 |          0 |          4 |         57 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentCard.tsx             | TypeScript JSX |        130 |          0 |          5 |        135 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentEditor.tsx           | TypeScript JSX |         96 |          5 |         14 |        115 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentEditorTabs.tsx       | TypeScript JSX |        219 |          0 |         17 |        236 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\data\mockComponents.ts                   | TypeScript     |        115 |          0 |          2 |        117 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\hooks\useComponents.ts                   | TypeScript     |         52 |          1 |          5 |         58 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\page.tsx                                 | TypeScript JSX |         80 |          0 |         10 |         90 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\component-dialog.tsx                 | TypeScript JSX |         29 |          1 |          6 |         36 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\component-item.tsx                   | TypeScript JSX |         16 |          0 |          5 |         21 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\components\sidebar.tsx               | TypeScript JSX |         62 |          0 |          8 |         70 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\edit-page-dialog.tsx                 | TypeScript JSX |         50 |          1 |          7 |         58 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\page-column.tsx                      | TypeScript JSX |        140 |          2 |         11 |        153 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\page.tsx                             | TypeScript JSX |         87 |          4 |         14 |        105 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\types.ts                             | TypeScript     |         10 |          0 |          3 |         13 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page.tsx                                         | TypeScript JSX |          4 |          0 |          2 |          6 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\components\ProjectCard.tsx              | TypeScript JSX |        253 |          0 |         14 |        267 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\hooks\useProjects.ts                    | TypeScript     |          0 |          0 |          1 |          1 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\page.tsx                                | TypeScript JSX |         90 |          0 |          8 |         98 |
| d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\types\project.ts                        | TypeScript     |         15 |          0 |          0 |         15 |
| Total                                                                                           |                |      8,582 |        144 |      1,125 |      9,851 |
+-------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
